Rank1,Rank2,Rank3,Rank4,Alg,Prob,Q,PC
6,3,1,2,DE,F17,4,1
4,7,8,6,DE,F17,4,2
9,2,4,7,DE,F17,4,3
6,2,1,3,GA,F17,1,1
6,1,2,3,GA,F17,1,2
1,2,3,6,GA,F17,1,3
6,2,3,1,GA,F17,2,1
6,3,10,2,GA,F17,2,2
3,5,8,6,GA,F17,2,3
6,2,3,1,GA,F17,3,1
4,7,9,10,GA,F17,3,2
4,8,5,7,GA,F17,3,3
6,1,3,2,GA,F17,4,1
5,7,9,4,GA,F17,4,2
5,4,9,8,GA,F17,4,3
1,2,6,3,PSO,F17,1,1
1,2,3,6,PSO,F17,1,2
1,2,6,3,PSO,F17,1,3
2,1,6,3,PSO,F17,2,1
1,2,3,5,PSO,F17,2,2
1,5,10,3,PSO,F17,2,3
2,6,3,1,PSO,F17,3,1
4,10,5,7,PSO,F17,3,2
4,5,7,10,PSO,F17,3,3
2,6,1,3,PSO,F17,4,1
4,10,7,5,PSO,F17,4,2
7,4,10,9,PSO,F17,4,3
1,2,6,3,CMAES,F18,1,1
9,2,3,4,CMAES,F18,1,2
7,10,9,8,CMAES,F18,1,3
1,3,2,6,CMAES,F18,2,1
4,3,5,9,CMAES,F18,2,2
7,10,8,5,CMAES,F18,2,3
3,5,4,9,CMAES,F18,3,1
4,8,5,9,CMAES,F18,3,2
4,8,7,5,CMAES,F18,3,3
1,6,2,3,CMAES,F18,4,1
4,5,8,9,CMAES,F18,4,2
5,7,4,8,CMAES,F18,4,3
6,1,3,2,DE,F18,1,1
2,1,6,3,DE,F18,1,2
2,6,1,3,DE,F18,1,3
1,3,6,2,DE,F18,2,1
2,1,6,3,DE,F18,2,2
2,1,6,3,DE,F18,2,3
3,1,4,6,DE,F18,3,1
1,2,4,8,DE,F18,3,2
4,2,1,9,DE,F18,3,3
3,4,1,6,DE,F18,4,1
2,5,4,1,DE,F18,4,2
4,2,5,9,DE,F18,4,3
6,1,2,3,GA,F18,1,1
6,2,1,9,GA,F18,1,2
2,3,6,1,GA,F18,1,3
1,2,6,3,GA,F18,2,1
6,2,1,10,GA,F18,2,2
3,4,2,1,GA,F18,2,3
1,4,2,3,GA,F18,3,1
10,5,4,8,GA,F18,3,2
4,7,5,9,GA,F18,3,3
1,5,4,2,GA,F18,4,1
8,5,7,10,GA,F18,4,2
5,7,4,10,GA,F18,4,3
2,1,6,3,PSO,F18,1,1
2,6,9,1,PSO,F18,1,2
9,6,3,2,PSO,F18,1,3
2,1,6,3,PSO,F18,2,1
2,9,6,3,PSO,F18,2,2
7,9,10,3,PSO,F18,2,3
1,3,2,6,PSO,F18,3,1
7,4,5,8,PSO,F18,3,2
7,10,4,8,PSO,F18,3,3
1,3,2,5,PSO,F18,4,1
5,4,8,7,PSO,F18,4,2
5,8,4,7,PSO,F18,4,3
8,6,9,10,CMAES,F19,1,1
6,4,2,5,CMAES,F19,1,2
6,10,7,1,CMAES,F19,1,3
10,6,3,8,CMAES,F19,2,1
3,6,4,1,CMAES,F19,2,2
6,3,4,10,CMAES,F19,2,3
6,10,8,7,CMAES,F19,3,1
6,3,1,7,CMAES,F19,3,2
6,3,10,7,CMAES,F19,3,3
6,8,10,7,CMAES,F19,4,1
6,3,7,4,CMAES,F19,4,2
6,3,10,7,CMAES,F19,4,3
9,4,1,8,DE,F19,1,1
7,5,1,6,DE,F19,1,2
5,7,2,8,DE,F19,1,3
9,4,1,8,DE,F19,2,1
7,5,6,1,DE,F19,2,2
7,5,6,2,DE,F19,2,3
9,4,3,10,DE,F19,3,1
7,5,6,1,DE,F19,3,2
5,7,6,2,DE,F19,3,3
9,4,3,8,DE,F19,4,1
7,5,6,2,DE,F19,4,2
5,7,6,2,DE,F19,4,3
9,4,8,2,GA,F19,1,1
7,2,4,8,GA,F19,1,2
6,7,4,5,GA,F19,1,3
9,4,8,10,GA,F19,2,1
7,2,4,1,GA,F19,2,2
6,7,4,1,GA,F19,2,3
