,Run,Gen,PC,Score,Score4
233,1.0,78.0,2.0,0.578,0.54
234,1.0,79.0,0.0,0.764,0.84
235,1.0,79.0,1.0,0.648,0.865
236,1.0,79.0,2.0,0.592,0.505
237,1.0,80.0,0.0,0.742,0.845
238,1.0,80.0,1.0,0.63,0.86
239,1.0,80.0,2.0,0.582,0.56
240,1.0,81.0,0.0,0.72,0.875
241,1.0,81.0,1.0,0.604,0.855
242,1.0,81.0,2.0,0.568,0.465
243,1.0,82.0,0.0,0.726,0.865
244,1.0,82.0,1.0,0.622,0.905
245,1.0,82.0,2.0,0.55,0.48
246,1.0,83.0,0.0,0.77,0.895
247,1.0,83.0,1.0,0.602,0.93
248,1.0,83.0,2.0,0.55,0.495
249,1.0,84.0,0.0,0.788,0.905
250,1.0,84.0,1.0,0.648,0.975
251,1.0,84.0,2.0,0.56,0.575
252,1.0,85.0,0.0,0.804,0.96
253,1.0,85.0,1.0,0.624,0.945
254,1.0,85.0,2.0,0.584,0.525
255,1.0,86.0,0.0,0.816,0.965
256,1.0,86.0,1.0,0.612,0.95
257,1.0,86.0,2.0,0.544,0.52
258,1.0,87.0,0.0,0.804,0.99
259,1.0,87.0,1.0,0.616,0.955
260,1.0,87.0,2.0,0.56,0.48
261,1.0,88.0,0.0,0.796,1.0
262,1.0,88.0,1.0,0.636,0.985
263,1.0,88.0,2.0,0.556,0.415
264,1.0,89.0,0.0,0.794,1.0
265,1.0,89.0,1.0,0.658,0.985
266,1.0,89.0,2.0,0.558,0.345
267,1.0,90.0,0.0,0.8,1.0
268,1.0,90.0,1.0,0.648,0.99
269,1.0,90.0,2.0,0.544,0.395
270,1.0,91.0,0.0,0.764,1.0
271,1.0,91.0,1.0,0.644,1.0
272,1.0,91.0,2.0,0.556,0.335
273,1.0,92.0,0.0,0.798,1.0
274,1.0,92.0,1.0,0.682,0.995
275,1.0,92.0,2.0,0.586,0.24
276,1.0,93.0,0.0,0.778,1.0
277,1.0,93.0,1.0,0.674,0.995
278,1.0,93.0,2.0,0.578,0.255
279,1.0,94.0,0.0,0.778,1.0
280,1.0,94.0,1.0,0.674,0.995
281,1.0,94.0,2.0,0.578,0.255
282,1.0,95.0,0.0,0.786,1.0
283,1.0,95.0,1.0,0.682,1.0
284,1.0,95.0,2.0,0.582,0.265
285,1.0,96.0,0.0,0.778,1.0
286,1.0,96.0,1.0,0.678,1.0
287,1.0,96.0,2.0,0.578,0.25
288,1.0,97.0,0.0,0.786,1.0
289,1.0,97.0,1.0,0.686,1.0
290,1.0,97.0,2.0,0.586,0.25
291,1.0,98.0,0.0,0.796,1.0
