,Run,Gen,PC,Score,Score4
174,91.0,59.0,0.0,0.612,0.74
175,91.0,59.0,1.0,0.644,0.645
176,91.0,59.0,2.0,0.628,0.67
177,91.0,60.0,0.0,0.61,0.75
178,91.0,60.0,1.0,0.634,0.62
179,91.0,60.0,2.0,0.626,0.67
180,91.0,61.0,0.0,0.606,0.745
181,91.0,61.0,1.0,0.638,0.655
182,91.0,61.0,2.0,0.626,0.665
183,91.0,62.0,0.0,0.604,0.74
184,91.0,62.0,1.0,0.632,0.67
185,91.0,62.0,2.0,0.624,0.66
186,91.0,63.0,0.0,0.62,0.745
187,91.0,63.0,1.0,0.64,0.68
188,91.0,63.0,2.0,0.608,0.64
189,91.0,64.0,0.0,0.618,0.74
190,91.0,64.0,1.0,0.642,0.67
191,91.0,64.0,2.0,0.614,0.655
192,91.0,65.0,0.0,0.618,0.74
193,91.0,65.0,1.0,0.642,0.67
194,91.0,65.0,2.0,0.614,0.655
195,91.0,66.0,0.0,0.62,0.74
196,91.0,66.0,1.0,0.64,0.665
197,91.0,66.0,2.0,0.608,0.655
198,91.0,67.0,0.0,0.62,0.735
199,91.0,67.0,1.0,0.632,0.66
200,91.0,67.0,2.0,0.608,0.65
201,91.0,68.0,0.0,0.626,0.735
202,91.0,68.0,1.0,0.63,0.655
203,91.0,68.0,2.0,0.61,0.655
204,91.0,69.0,0.0,0.624,0.735
205,91.0,69.0,1.0,0.632,0.655
206,91.0,69.0,2.0,0.608,0.655
207,91.0,70.0,0.0,0.624,0.74
208,91.0,70.0,1.0,0.648,0.66
209,91.0,70.0,2.0,0.612,0.655
210,91.0,71.0,0.0,0.63,0.735
211,91.0,71.0,1.0,0.642,0.655
212,91.0,71.0,2.0,0.614,0.655
213,91.0,72.0,0.0,0.634,0.73
214,91.0,72.0,1.0,0.642,0.655
215,91.0,72.0,2.0,0.614,0.66
216,91.0,73.0,0.0,0.634,0.73
217,91.0,73.0,1.0,0.642,0.655
218,91.0,73.0,2.0,0.614,0.66
219,91.0,74.0,0.0,0.626,0.72
220,91.0,74.0,1.0,0.646,0.655
221,91.0,74.0,2.0,0.614,0.66
222,91.0,75.0,0.0,0.63,0.72
223,91.0,75.0,1.0,0.638,0.65
224,91.0,75.0,2.0,0.618,0.66
225,91.0,76.0,0.0,0.63,0.72
226,91.0,76.0,1.0,0.638,0.65
227,91.0,76.0,2.0,0.618,0.66
228,91.0,77.0,0.0,0.632,0.72
229,91.0,77.0,1.0,0.64,0.655
230,91.0,77.0,2.0,0.616,0.655
231,91.0,78.0,0.0,0.642,0.73
232,91.0,78.0,1.0,0.626,0.65
233,91.0,78.0,2.0,0.622,0.665
234,91.0,79.0,0.0,0.646,0.74
235,91.0,79.0,1.0,0.618,0.625
236,91.0,79.0,2.0,0.626,0.67
237,91.0,80.0,0.0,0.64,0.74
238,91.0,80.0,1.0,0.62,0.615
239,91.0,80.0,2.0,0.632,0.685
240,91.0,81.0,0.0,0.64,0.74
241,91.0,81.0,1.0,0.62,0.615
242,91.0,81.0,2.0,0.632,0.685
243,91.0,82.0,0.0,0.64,0.73
244,91.0,82.0,1.0,0.624,0.62
245,91.0,82.0,2.0,0.624,0.66
246,91.0,83.0,0.0,0.638,0.72
247,91.0,83.0,1.0,0.634,0.62
248,91.0,83.0,2.0,0.626,0.66
249,91.0,84.0,0.0,0.636,0.72
250,91.0,84.0,1.0,0.636,0.63
251,91.0,84.0,2.0,0.624,0.66
252,91.0,85.0,0.0,0.64,0.715
253,91.0,85.0,1.0,0.636,0.645
254,91.0,85.0,2.0,0.62,0.66
255,91.0,86.0,0.0,0.64,0.715
256,91.0,86.0,1.0,0.636,0.645
257,91.0,86.0,2.0,0.62,0.66
258,91.0,87.0,0.0,0.636,0.71
259,91.0,87.0,1.0,0.628,0.64
260,91.0,87.0,2.0,0.62,0.675
261,91.0,88.0,0.0,0.638,0.705
262,91.0,88.0,1.0,0.626,0.65
263,91.0,88.0,2.0,0.618,0.66
264,91.0,89.0,0.0,0.634,0.705
265,91.0,89.0,1.0,0.626,0.645
266,91.0,89.0,2.0,0.618,0.66
267,91.0,90.0,0.0,0.634,0.705
268,91.0,90.0,1.0,0.626,0.645
269,91.0,90.0,2.0,0.618,0.66
270,91.0,91.0,0.0,0.634,0.69
271,91.0,91.0,1.0,0.626,0.625
272,91.0,91.0,2.0,0.618,0.66
273,91.0,92.0,0.0,0.642,0.7
274,91.0,92.0,1.0,0.63,0.635
275,91.0,92.0,2.0,0.622,0.665
276,91.0,93.0,0.0,0.634,0.695
277,91.0,93.0,1.0,0.626,0.645
278,91.0,93.0,2.0,0.618,0.675
279,91.0,94.0,0.0,0.622,0.69
280,91.0,94.0,1.0,0.634,0.65
281,91.0,94.0,2.0,0.614,0.67
282,91.0,95.0,0.0,0.62,0.69
283,91.0,95.0,1.0,0.632,0.65
284,91.0,95.0,2.0,0.62,0.675
285,91.0,96.0,0.0,0.622,0.685
286,91.0,96.0,1.0,0.63,0.64
287,91.0,96.0,2.0,0.622,0.67
288,91.0,97.0,0.0,0.622,0.685
289,91.0,97.0,1.0,0.63,0.635
290,91.0,97.0,2.0,0.622,0.68
291,91.0,98.0,0.0,0.622,0.685
292,91.0,98.0,1.0,0.63,0.635
293,91.0,98.0,2.0,0.622,0.68
294,91.0,99.0,0.0,0.616,0.67
295,91.0,99.0,1.0,0.636,0.64
296,91.0,99.0,2.0,0.624,0.68
297,91.0,100.0,0.0,0.612,0.665
298,91.0,100.0,1.0,0.644,0.65
299,91.0,100.0,2.0,0.62,0.675
300,91.0,101.0,0.0,0.614,0.675
301,91.0,101.0,1.0,0.646,0.665
302,91.0,101.0,2.0,0.622,0.68
303,91.0,102.0,0.0,0.62,0.67
304,91.0,102.0,1.0,0.656,0.665
305,91.0,102.0,2.0,0.624,0.685
306,91.0,103.0,0.0,0.62,0.67
307,91.0,103.0,1.0,0.656,0.665
308,91.0,103.0,2.0,0.624,0.685
309,91.0,104.0,0.0,0.616,0.67
310,91.0,104.0,1.0,0.652,0.68
311,91.0,104.0,2.0,0.64,0.685
312,91.0,105.0,0.0,0.616,0.67
313,91.0,105.0,1.0,0.652,0.68
314,91.0,105.0,2.0,0.64,0.685
315,91.0,106.0,0.0,0.61,0.665
316,91.0,106.0,1.0,0.654,0.68
317,91.0,106.0,2.0,0.642,0.68
318,91.0,107.0,0.0,0.61,0.665
319,91.0,107.0,1.0,0.654,0.68
320,91.0,107.0,2.0,0.642,0.68
321,91.0,108.0,0.0,0.614,0.67
322,91.0,108.0,1.0,0.654,0.68
323,91.0,108.0,2.0,0.642,0.685
324,91.0,109.0,0.0,0.614,0.67
325,91.0,109.0,1.0,0.654,0.68
326,91.0,109.0,2.0,0.642,0.685
327,91.0,110.0,0.0,0.612,0.66
328,91.0,110.0,1.0,0.66,0.69
329,91.0,110.0,2.0,0.64,0.675
330,91.0,111.0,0.0,0.614,0.655
331,91.0,111.0,1.0,0.654,0.68
332,91.0,111.0,2.0,0.642,0.68
333,91.0,112.0,0.0,0.614,0.65
334,91.0,112.0,1.0,0.658,0.68
335,91.0,112.0,2.0,0.638,0.67
336,91.0,113.0,0.0,0.614,0.65
337,91.0,113.0,1.0,0.658,0.68
338,91.0,113.0,2.0,0.638,0.67
339,91.0,114.0,0.0,0.618,0.655
340,91.0,114.0,1.0,0.662,0.68
341,91.0,114.0,2.0,0.642,0.675
342,91.0,115.0,0.0,0.618,0.655
343,91.0,115.0,1.0,0.662,0.68
344,91.0,115.0,2.0,0.642,0.675
345,91.0,116.0,0.0,0.62,0.655
346,91.0,116.0,1.0,0.668,0.685
347,91.0,116.0,2.0,0.636,0.665
348,91.0,117.0,0.0,0.622,0.66
349,91.0,117.0,1.0,0.666,0.68
350,91.0,117.0,2.0,0.642,0.68
351,91.0,118.0,0.0,0.624,0.655
352,91.0,118.0,1.0,0.664,0.68
353,91.0,118.0,2.0,0.64,0.68
354,91.0,119.0,0.0,0.626,0.66
355,91.0,119.0,1.0,0.662,0.68
356,91.0,119.0,2.0,0.638,0.68
357,91.0,120.0,0.0,0.626,0.655
358,91.0,120.0,1.0,0.658,0.68
359,91.0,120.0,2.0,0.642,0.675
360,91.0,121.0,0.0,0.626,0.655
361,91.0,121.0,1.0,0.658,0.68
362,91.0,121.0,2.0,0.642,0.675
363,91.0,122.0,0.0,0.626,0.655
364,91.0,122.0,1.0,0.666,0.69
365,91.0,122.0,2.0,0.638,0.665
366,91.0,123.0,0.0,0.628,0.655
367,91.0,123.0,1.0,0.664,0.685
368,91.0,123.0,2.0,0.636,0.665
369,91.0,124.0,0.0,0.628,0.655
370,91.0,124.0,1.0,0.664,0.685
371,91.0,124.0,2.0,0.636,0.665
372,91.0,125.0,0.0,0.624,0.655
373,91.0,125.0,1.0,0.66,0.68
374,91.0,125.0,2.0,0.64,0.665
375,91.0,126.0,0.0,0.624,0.655
376,91.0,126.0,1.0,0.66,0.68
377,91.0,126.0,2.0,0.64,0.665
378,91.0,127.0,0.0,0.624,0.66
379,91.0,127.0,1.0,0.664,0.685
380,91.0,127.0,2.0,0.632,0.66
381,91.0,128.0,0.0,0.624,0.66
382,91.0,128.0,1.0,0.664,0.685
383,91.0,128.0,2.0,0.632,0.66
384,91.0,129.0,0.0,0.624,0.66
385,91.0,129.0,1.0,0.664,0.685
386,91.0,129.0,2.0,0.632,0.66
387,91.0,130.0,0.0,0.622,0.66
388,91.0,130.0,1.0,0.662,0.675
389,91.0,130.0,2.0,0.634,0.66
390,91.0,131.0,0.0,0.622,0.66
391,91.0,131.0,1.0,0.662,0.675
392,91.0,131.0,2.0,0.634,0.66
393,91.0,132.0,0.0,0.616,0.655
394,91.0,132.0,1.0,0.66,0.68
395,91.0,132.0,2.0,0.632,0.66
396,91.0,133.0,0.0,0.616,0.65
397,91.0,133.0,1.0,0.648,0.67
398,91.0,133.0,2.0,0.628,0.66
399,91.0,134.0,0.0,0.616,0.645
400,91.0,134.0,1.0,0.644,0.665
401,91.0,134.0,2.0,0.628,0.67
402,91.0,135.0,0.0,0.616,0.645
403,91.0,135.0,1.0,0.644,0.665
404,91.0,135.0,2.0,0.628,0.67
405,91.0,136.0,0.0,0.616,0.64
406,91.0,136.0,1.0,0.636,0.66
407,91.0,136.0,2.0,0.632,0.68
408,91.0,137.0,0.0,0.616,0.64
409,91.0,137.0,1.0,0.636,0.66
410,91.0,137.0,2.0,0.632,0.68
411,91.0,138.0,0.0,0.62,0.645
412,91.0,138.0,1.0,0.644,0.67
413,91.0,138.0,2.0,0.636,0.68
414,91.0,139.0,0.0,0.626,0.66
415,91.0,139.0,1.0,0.638,0.665
416,91.0,139.0,2.0,0.642,0.685
417,91.0,140.0,0.0,0.624,0.66
418,91.0,140.0,1.0,0.636,0.665
419,91.0,140.0,2.0,0.636,0.68
420,91.0,141.0,0.0,0.624,0.66
421,91.0,141.0,1.0,0.636,0.665
422,91.0,141.0,2.0,0.636,0.68
423,91.0,142.0,0.0,0.624,0.66
424,91.0,142.0,1.0,0.636,0.665
425,91.0,142.0,2.0,0.636,0.68
426,91.0,143.0,0.0,0.628,0.67
427,91.0,143.0,1.0,0.636,0.67
428,91.0,143.0,2.0,0.632,0.68
429,91.0,144.0,0.0,0.628,0.67
430,91.0,144.0,1.0,0.636,0.67
431,91.0,144.0,2.0,0.632,0.68
432,91.0,145.0,0.0,0.628,0.67
433,91.0,145.0,1.0,0.636,0.67
434,91.0,145.0,2.0,0.632,0.68
435,91.0,146.0,0.0,0.628,0.67
436,91.0,146.0,1.0,0.636,0.67
437,91.0,146.0,2.0,0.632,0.68
438,91.0,147.0,0.0,0.628,0.67
439,91.0,147.0,1.0,0.636,0.67
440,91.0,147.0,2.0,0.632,0.68
441,91.0,148.0,0.0,0.628,0.67
442,91.0,148.0,1.0,0.636,0.67
443,91.0,148.0,2.0,0.632,0.68
444,91.0,149.0,0.0,0.628,0.67
445,91.0,149.0,1.0,0.636,0.67
446,91.0,149.0,2.0,0.632,0.68
447,91.0,150.0,0.0,0.628,0.67
448,91.0,150.0,1.0,0.632,0.675
449,91.0,150.0,2.0,0.628,0.67
450,91.0,151.0,0.0,0.628,0.67
451,91.0,151.0,1.0,0.632,0.675
452,91.0,151.0,2.0,0.628,0.67
453,91.0,152.0,0.0,0.628,0.67
454,91.0,152.0,1.0,0.632,0.675
455,91.0,152.0,2.0,0.628,0.67
456,91.0,153.0,0.0,0.628,0.67
457,91.0,153.0,1.0,0.632,0.675
458,91.0,153.0,2.0,0.628,0.67
