,Run,Gen,PC,Score,Score4
468,91.0,157.0,0.0,0.8,1.0
469,91.0,157.0,1.0,0.8,0.75
470,91.0,157.0,2.0,0.6,0.5
471,91.0,158.0,0.0,0.8,1.0
472,91.0,158.0,1.0,0.8,0.75
473,91.0,158.0,2.0,0.6,0.5
474,91.0,159.0,0.0,0.8,1.0
475,91.0,159.0,1.0,0.8,0.75
476,91.0,159.0,2.0,0.6,0.5
477,91.0,160.0,0.0,0.8,1.0
478,91.0,160.0,1.0,0.8,0.75
479,91.0,160.0,2.0,0.6,0.5
480,91.0,161.0,0.0,0.8,1.0
481,91.0,161.0,1.0,0.8,0.75
482,91.0,161.0,2.0,0.6,0.5
483,91.0,162.0,0.0,0.8,1.0
484,91.0,162.0,1.0,0.8,0.75
485,91.0,162.0,2.0,0.6,0.5
486,91.0,163.0,0.0,0.8,1.0
487,91.0,163.0,1.0,0.8,0.75
488,91.0,163.0,2.0,0.6,0.5
489,91.0,164.0,0.0,0.8,1.0
490,91.0,164.0,1.0,0.8,0.75
491,91.0,164.0,2.0,0.6,0.5
492,91.0,165.0,0.0,0.8,1.0
493,91.0,165.0,1.0,0.8,0.75
494,91.0,165.0,2.0,0.6,0.5
495,91.0,166.0,0.0,0.8,1.0
496,91.0,166.0,1.0,0.8,0.75
497,91.0,166.0,2.0,0.6,0.5
498,91.0,167.0,0.0,0.8,1.0
499,91.0,167.0,1.0,0.8,0.75
500,91.0,167.0,2.0,0.6,0.5
501,91.0,168.0,0.0,0.8,1.0
502,91.0,168.0,1.0,0.8,0.75
503,91.0,168.0,2.0,0.6,0.5
504,91.0,169.0,0.0,0.8,1.0
505,91.0,169.0,1.0,0.8,0.75
506,91.0,169.0,2.0,0.6,0.5
507,91.0,170.0,0.0,0.8,1.0
508,91.0,170.0,1.0,0.8,0.75
509,91.0,170.0,2.0,0.6,0.5
510,91.0,171.0,0.0,0.8,1.0
511,91.0,171.0,1.0,0.8,0.75
512,91.0,171.0,2.0,0.6,0.5
513,91.0,172.0,0.0,0.8,1.0
514,91.0,172.0,1.0,0.8,0.75
515,91.0,172.0,2.0,0.6,0.5
516,91.0,173.0,0.0,0.8,1.0
517,91.0,173.0,1.0,0.8,0.75
518,91.0,173.0,2.0,0.6,0.5
519,91.0,174.0,0.0,0.8,1.0
